Sexo,Edad,Provincia,Cantón,Distrito,Nivel Educativo,Tiene Trabajo ,Ocupacion,Modalidad,Estado Civil,Jefe de Familia,Edad del jefe de familia,Sexo del jefe de familia,Nivel educativo del jefe de familia,Ocupación del jefe del hogar,Hace las compras,Toma decisiones administrativas,Material de pisos,Tienen empleada domestica,Dormitorios,Baños,Automóviles,Aspiradora,Lavadora,Secadora,Calentador,Home Theater,Videojuegos,Computadora,Internet,Es padre o encargado,Orientación sexual,Compra por internet 3 meses,Compra por internet 30 días,Ultima vez Internet,Servicio de streaming,Televisión ONLINE
Mujer,64,Alajuela,San Mateo,San Mateo,Universitaria Incompleta,No,Jubilado '/' pensionado,No aplica,Casado (a)'/' Unión Libre,Si,64,Mujer,Universitaria Incompleta,Pensionados,Si,Si,Terrazo '/' Mosaico '/' Alfombra '/' Vinil,No,Tres,Uno,Ninguno,Si,Si,No,No,No,No,Si,Si,No,Bisexual,No,No,Ayer,No,Si
Mujer,53,San José,Desamparados,Damas,Universitaria Completa,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,Si,53,Mujer,Universitaria Completa,Pensionados,Si,Si,Cerámica '/' Porcelanato,Si,Dos,Dos,Uno,Si,Si,Si,Si,Si,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,No,Si
Mujer,50,Heredia,San Isidro,San José,Secundaria Completa,No,Desocupado,No aplica,Casado (a)'/' Unión Libre,No,52,Hombre,Primaria Incompleta,"Nivel técnico, y profesional de nivel medio",Si,Si,Cemento (Pulido o no Pulido),No,Dos,Uno,Ninguno,No,Si,No,No,No,No,No,Si,Si,Heterosexual,No,No,Ayer,No,No
Hombre,43,Limón,Pococí,Guápiles,Primaria Completa,No,Estudiante,No aplica,Soltero (a),Si,43,Hombre,Primaria Completa,Ocupaciones elementales (No calificados),No,No,Cerámica '/' Porcelanato,No,Dos,Uno,Ninguno,No,Si,No,No,No,No,No,No,No,Prefiero no decirlo,Si,Si,Ayer,No,Si
Mujer,49,Cartago,Oreamuno,San Rafael,Universitaria Incompleta,Si,Ocupado,Presencial,Separado(a) '/' Divorciado (a),Si,49,Mujer,Universitaria Incompleta,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,Si,Tres,Dos,Ninguno,No,Si,Si,No,Si,Si,Si,Si,No,Heterosexual,Si,Si,Ayer,Si,No
Hombre,56,Alajuela,Alajuela,Río Segundo,Universitaria Incompleta,No,Ocupado,No aplica,Separado(a) '/' Divorciado (a),Si,56,Hombre,Universitaria Incompleta,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Ninguno,No,No,No,No,No,No,No,Si,Si,Heterosexual,Si,No,Ayer,Si,No
Mujer,69,San José,Vásquez de Coronado,Patalillo,Secundaria Completa,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,Si,69,Mujer,Secundaria Completa,Pensionados,Si,Si,Cerámica '/' Porcelanato,No,Uno,Uno,Ninguno,No,No,No,No,Si,No,No,No,No,Heterosexual,No,No,Hace 2 a 7 días,Si,Si
Mujer,46,San José,Vásquez de Coronado,San Isidro,Universitaria Incompleta,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,No,65,Mujer,Universitaria Completa,Desocupados,Si,Si,Cerámica '/' Porcelanato,No,Seis,Seis,Uno,No,Si,Si,No,No,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,No,No
Hombre,75,San José,San José,Catedral,Universitaria Incompleta,No,Jubilado '/' pensionado,No aplica,Soltero (a),Si,75,Hombre,Universitaria Incompleta,Pensionados,Si,Si,Madera,Si,Tres,Uno,Ninguno,No,Si,No,No,No,No,Si,Si,Si,Heterosexual,No,No,Ayer,No,Si
Mujer,35,Alajuela,Alajuela,Guácima,Universitaria Completa,Si,Ocupado,Teletrabajo,Casado (a)'/' Unión Libre,Si,35,Mujer,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,Si,Tres,Tres,Uno,Si,Si,Si,Si,No,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,No
Mujer,30,San José,San José,Hatillo,Secundaria Incompleta,No,Ama de casa,No aplica,Separado(a) '/' Divorciado (a),Si,30,Mujer,Secundaria Incompleta,Desocupados,Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,No,No,Si,No,No,No,Si,Si,Heterosexual,No,No,Ayer,No,No
Mujer,36,Heredia,Heredia,Heredia,Universitaria Completa,Si,Ocupado,Hibrido,Soltero (a),Si,36,Mujer,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,No,Seis,Dos,Dos,Si,Si,Si,Si,Si,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,56,San José,Curridabat,Granadilla,Secundaria Incompleta,No,Ama de casa,No aplica,Soltero (a),Si,56,Mujer,Secundaria Incompleta,Ocupaciones elementales (No calificados),Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Ninguno,No,Si,No,No,No,Si,Si,Si,No,Heterosexual,No,No,Ayer,No,Si
Mujer,59,San José,Curridabat,Granadilla,Secundaria Incompleta,No,Desocupado,No aplica,Casado (a)'/' Unión Libre,Si,59,Mujer,Secundaria Incompleta,Pensionados,Si,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Uno,Si,No,No,No,No,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,No,Si
Mujer,43,Heredia,Flores,Llorente,Secundaria Completa,Si,Ocupado,Presencial,Separado(a) '/' Divorciado (a),Si,43,Mujer,Secundaria Completa,Pensionados,Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,No,No,No,No,Si,No,Si,Si,Heterosexual,No,No,Ayer,No,No
Hombre,39,Alajuela,Palmares,Palmares,Universitaria Completa,No,Desocupado,No aplica,Casado (a)'/' Unión Libre,Si,39,Hombre,Universitaria Completa,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cemento (Pulido o no Pulido),No,Dos,Dos,Dos,Si,Si,No,Si,Si,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,No,Si
